id;start_date;end_date;language
1;2025-02-12T14:26:42;2025-02-12T08:50:46;SPANISH
2;2025-02-12T02:11:52;2025-02-12T07:42:12;ENGLISH
3;2025-02-12T12:02:11;2025-02-12T23:18:02;FRENCH
4;2025-02-12T09:26:37;2025-02-12T18:38:53;FRENCH
5;2025-02-12T00:33:51;2025-02-12T02:17:04;ENGLISH
6;2025-02-12T21:45:12;2025-02-12T12:06:30;ENGLISH
7;2025-02-12T14:14:34;2025-02-12T21:04:25;ENGLISH
8;2025-02-12T20:45:19;2025-02-12T14:04:18;SPANISH
9;2025-02-12T05:24:06;2025-02-12T06:08:23;ENGLISH
10;2025-02-12T17:40:57;2025-02-12T10:04:52;ENGLISH
