id;street_address;postal_code;city;state_province
1;gratefully ha;structure;Kylaburgh;clean
2;intervention spellcheck;than;Jaymeberg;although besides
3;once drat;considering atrium;West Adolphus;plus
4;deep woot;however indelible;Bristol;shudder citizen
5;judicious;proud readily chime;Blandaville;flickering singe gracefully
6;telescope;over;East Stefanie;happily sedately
7;petticoat for;until;East Yesseniaburgh;freely
8;relieve probable who;overdue provided;O'Reillyville;needily crossly hype
9;ew freckle correctly;an sour flawless;Brookline;aha
10;what fit gah;incline pfft psst;Lynchstad;reflate
